"Category","Function","Gene.name","GCA_900292015.1_MB901379","GCA_936269705.1_RiOegib_v1.0","GCA_947251655.1_ilPheTrem1.Wolbachia_sp_1.1"
"Thermophilic specific","Thermophilic specific","reverse gyrase",0,0,0
"Amino acid utilization","4-aminobutyrate aminotransferase and related aminotransferases","4-aminobutyrate aminotransferase and related aminotransferases",2,0,0
"Amino acid utilization","Aminotransferase class I and II","aminotransferase class I and II",1,0,0
"Amino acid utilization","Phosphoserine aminotransferase","phosphoserine aminotransferase",1,0,0
"Amino acid utilization","Ornithine/acetylornithine aminotransferase","ornithine/acetylornithine aminotransferase",2,0,2
"Amino acid utilization","Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase","branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase",2,1,0
"Amino acid utilization","Aspartate/tyrosine/aromatic aminotransferase","aspartate/tyrosine/aromatic aminotransferase",0,1,1
"Amino acid utilization","Histidinol-phosphate/aromatic aminotransferase","histidinol-phosphate/aromatic aminotransferase",2,0,0
"Amino acid utilization","Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase","serine-pyruvate aminotransferase/archaeal aspartate aminotransferase",0,0,0
"Ethanol fermentation","Acetate => Acetaldehyde","acetate => acetaldehyde",1,0,0
"Ethanol fermentation","Acetaldehyde => Ethanol","acetaldehyde => ethanol",0,0,0
"Fatty acid degradation","Fatty acid degradation","acyl-CoA dehydrogenase",8,0,0
"Aromatics degradation","Protocatechuate/Catechol degradation","catechol 1,2-dioxygenase",0,0,0
"Aromatics degradation","Phenol => Benzoyl-CoA","flavin prenyltransferase",0,1,1
"Aromatics degradation","Phenol => Benzoyl-CoA","vanillate/4-hydroxybenzoate decarboxylase subunit C",0,0,0
"Aromatics degradation","Benzoyl-CoA reduction","benzoyl-CoA reductase subunit C",0,0,0
"Aromatics degradation","Benzoyl-CoA reduction","benzoyl-CoA reductase subunit B",0,0,0
"Aromatics degradation","Benzoyl-CoA reduction","benzoyl-CoA reductase subunit A",0,0,0
"Aromatics degradation","Benzoyl-CoA reduction","benzoyl-CoA reductase subunit D",0,0,0
"Complex carbon degradation","Cellulose degrading","cellobiosidase",0,0,0
"Complex carbon degradation","Cellulose degrading","cellulase",0,0,0
"Complex carbon degradation","Cellulose degrading","beta-glucosidase",1,0,0
"Complex carbon degradation","Hemicullulose debranching","arabinosidase",0,0,0
"Complex carbon degradation","Hemicullulose debranching","beta-glucuronidase",0,0,0
"Complex carbon degradation","Hemicullulose debranching","alpha-L-rhamnosidase",0,0,0
"Complex carbon degradation","Endohemicellulases","mannan endo-1,4-beta-mannosidase",0,0,0
"Complex carbon degradation","Endohemicellulases","alpha-D-xyloside xylohydrolase",0,0,0
"Complex carbon degradation","Other oligosaccharide degrading","beta-xylosidase",0,0,0
"Complex carbon degradation","Other oligosaccharide degrading","beta-mannosidase",0,0,0
"Complex carbon degradation","Other oligosaccharide degrading","beta-galactosidase",0,0,0
"Complex carbon degradation","Amylolytic enzymes","alpha-amylase",1,0,0
"Complex carbon degradation","Amylolytic enzymes","glucoamylase",0,0,0
"Complex carbon degradation","Amylolytic enzymes","pullulanase",0,0,0
"Complex carbon degradation","Amylolytic enzymes","isoamylase",2,0,0
"Complex carbon degradation","Chitin degrading","chitiniase",0,0,0
"Complex carbon degradation","Chitin degrading","hexosaminidase",1,0,0
"Fermentation","Pyruvate oxidation","pyruvate ferredoxin oxidoreductase alpha subunit",0,0,0
"Fermentation","Alcohol utilization","alcohol dehydrogenase",0,0,0
"Fermentation","Lactate utilization","L-lactate dehydrogenase",0,0,0
"Fermentation","Acetogenesis","acetyl coenzyme A synthetase (ADP forming), alpha domain",0,0,0
"Fermentation","Acetogenesis","acetate kinase",1,0,0
"Fermentation","Acetogenesis","phosphate acetyltransferase",1,0,0
"Fermentation","Acetate to acetyl-CoA","acetyl-CoA synthetase",1,0,0
"Fermentation","Pyruvate <=> acetyl-CoA + formate","formate C-acetyltransferase",0,0,0
"C1 metabolism","Methanol oxidation","methanol dehydrogenase (cytochrome c) subunit 1",0,0,0
"C1 metabolism","Methanol oxidation","methanol dehydrogenase",0,0,0
"C1 metabolism","Methyl amine -> formaldehyde","methylamine dehydrogenase light chain",0,0,0
"C1 metabolism","Methyl amine -> formaldehyde","methylamine dehydrogenase heavy chain",0,0,0
"C1 metabolism","Formaldehyde oxidation","glutathione-independent formaldehyde dehydrogenase",0,0,0
"C1 metabolism","Formaldehyde oxidation","S-formylglutathione hydrolase",0,0,0
"C1 metabolism","Formaldehyde oxidation","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase",0,0,0
"C1 metabolism","Formaldehyde oxidation","S-(hydroxymethyl)mycothiol dehydrogenase",1,0,0
"C1 metabolism","Formaldehyde oxidation","5,6,7,8-tetrahydromethanopterin hydro-lyase",0,0,0
"C1 metabolism","Formate oxidation","formate dehydrogenase major subunit",0,0,0
"C1 metabolism","Formate oxidation","formate dehydrogenase beta subunit",0,0,0
"C1 metabolism","Formate oxidation","formate dehydrogenase iron-sulfur subunit",0,0,0
"C1 metabolism","Formate oxidation","formate dehydrogenase (coenzyme F420) alpha subunit",0,0,0
"C1 metabolism","Formate oxidation","formate dehydrogenase (coenzyme F420) beta subunit",0,0,0
"C1 metabolism","Aerobic CO oxidation","aerobic carbon-monoxide dehydrogenase small subunit",2,0,0
"C1 metabolism","Aerobic CO oxidation","aerobic carbon-monoxide dehydrogenase medium subunit",2,0,0
"C1 metabolism","Aerobic CO oxidation","aerobic carbon-monoxide dehydrogenase large subunit",2,0,0
"Methane metabolism","Methane oxidation - Partculate methane monooxygenase","methane/ammonia monooxygenase subunit A",0,0,0
"Methane metabolism","Methane oxidation - Partculate methane monooxygenase","methane/ammonia monooxygenase subunit B",0,0,0
"Methane metabolism","Methane oxidation - Partculate methane monooxygenase","methane/ammonia monooxygenase subunit C",0,0,0
"Methane metabolism","Methane oxidation - Soluble methane monoxygenase","methane monooxygenase regulatory protein B",0,0,0
"Methane metabolism","Methane oxidation - Soluble methane monoxygenase","methane monooxygenase component D",0,0,0
"Methane metabolism","Methane production","methyl-coenzyme M reductase alpha subunit",0,0,0
"Methane metabolism","Methane production","methyl-coenzyme M reductase beta subunit",0,0,0
"Methane metabolism","Methane production","methyl-coenzyme M reductase subunit C",0,0,0
"Carbon fixation","CBB cycle - Rubisco","Form I RuBisCO large subunit",0,0,0
"Carbon fixation","CBB cycle - Rubisco","Form II RuBisCO large subunit",0,0,0
"Carbon fixation","3 Hydroxypropionate cycle","propionyl-CoA synthase",0,0,0
"Carbon fixation","3 Hydroxypropionate cycle","malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+)",0,0,0
