#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_3186      -          K00372               -           3.6e-261  868.2   0.0    5e-261  867.7   0.0   1.1   1   0   0   1   1   0   1 # 3690892 # 3695217 # 1 # ID=1_3186;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.631
LR130759.1_340       -          K00372               -            8.9e-69  231.6   4.7   2.3e-26   91.2   0.1   4.0   4   0   0   4   4   0   4 # 358821 # 361070 # 1 # ID=1_340;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
LR130759.1_98        -          K00372               -            3.1e-67  226.5   0.5   9.2e-67  224.9   0.5   1.7   1   1   0   1   1   0   1 # 97121 # 99454 # 1 # ID=1_98;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.629
LR130759.1_2366      -          K00372               -            2.5e-66  223.5   1.6   1.2e-27   95.5   0.0   4.0   4   0   0   4   4   0   4 # 2708174 # 2710384 # 1 # ID=1_2366;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.633
LR130759.1_1291      -          K00372               -            1.2e-47  161.7   3.3   1.1e-23   82.3   0.0   3.1   3   0   0   3   3   0   3 # 1491016 # 1493433 # -1 # ID=1_1291;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.677
OW370493.1_55        -          K00372               -            2.1e-20   71.5   0.0   8.4e-11   39.7   0.0   2.4   2   1   0   2   2   0   2 # 52683 # 54746 # 1 # ID=1_55;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.359
OX366373.1_964       -          K00372               -            2.8e-18   64.4   0.0   9.1e-13   46.2   0.0   2.6   2   1   0   2   2   0   2 # 1034230 # 1036299 # -1 # ID=1_964;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
LR130759.1_2732      -          K00372               -            1.5e-15   55.4   0.0     6e-09   33.6   0.0   2.1   2   0   0   2   2   0   2 # 3169377 # 3170411 # 1 # ID=1_2732;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
LR130759.1_418       -          K00372               -              5e-11   40.4   0.3   8.7e-09   33.0   0.2   2.0   1   1   1   2   2   0   2 # 452011 # 454578 # 1 # ID=1_418;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.644
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K00372.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K00372.hmm.total.hmmsearch_result.txt --domT 1028.10 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K00372.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:21:29 2023
# [ok]
