#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_869       -          K24693               -           2.3e-213  707.2   2.7  2.6e-213  707.0   2.7   1.0   1   0   0   1   1   1   1 # 984815 # 985918 # 1 # ID=1_869;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.648
LR130759.1_2517      -          K24693               -            1.6e-78  263.2   0.3   2.5e-78  262.5   0.3   1.2   1   0   0   1   1   0   1 # 2889003 # 2890238 # -1 # ID=1_2517;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.644
LR130759.1_1611      -          K24693               -            5.1e-61  205.6   4.5   1.2e-58  197.7   4.5   2.0   1   1   0   1   1   0   1 # 1861099 # 1862277 # 1 # ID=1_1611;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.670
OX366373.1_308       -          K24693               -            5.9e-08   30.8   1.1   1.1e-07   29.9   1.1   1.4   1   0   0   1   1   0   1 # 343241 # 344728 # 1 # ID=1_308;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.380
LR130759.1_4158      -          K24693               -            2.2e-07   29.0   0.4   8.8e-06   23.7   0.1   2.1   2   0   0   2   2   0   1 # 4822167 # 4823213 # -1 # ID=1_4158;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.655
LR130759.1_2156      -          K24693               -            1.3e-05   23.1   1.6   2.2e-05   22.4   1.6   1.2   1   0   0   1   1   0   1 # 2449771 # 2450883 # 1 # ID=1_2156;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.659
LR130759.1_2484      -          K24693               -            3.9e-05   21.5   0.1    0.0018   16.1   0.0   2.3   2   0   0   2   2   0   1 # 2852883 # 2854319 # -1 # ID=1_2484;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.671
LR130759.1_2568      -          K24693               -            4.3e-05   21.4   0.8   7.3e-05   20.6   0.8   1.3   1   0   0   1   1   0   1 # 2931936 # 2932895 # -1 # ID=1_2568;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.652
LR130759.1_4366      -          K24693               -            0.00034   18.4   3.6   0.00061   17.6   3.6   1.5   1   0   0   1   1   0   1 # 5057068 # 5058135 # 1 # ID=1_4366;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.662
LR130759.1_988       -          K24693               -            0.00069   17.4   7.5    0.0014   16.4   7.5   1.6   1   0   0   1   1   0   1 # 1088643 # 1090232 # 1 # ID=1_988;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.670
LR130759.1_989       -          K24693               -             0.0024   15.6   0.3     0.005   14.6   0.3   1.5   1   0   0   1   1   0   1 # 1090235 # 1091368 # 1 # ID=1_989;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.668
LR130759.1_1947      -          K24693               -             0.0052   14.6   0.3    0.0069   14.1   0.3   1.1   1   0   0   1   1   0   1 # 2199837 # 2200682 # -1 # ID=1_1947;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.677
LR130759.1_2549      -          K24693               -             0.0053   14.5   0.9    0.0082   13.9   0.9   1.2   1   0   0   1   1   0   1 # 2916578 # 2917705 # -1 # ID=1_2549;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.644
OX366373.1_205       -          K24693               -              0.042   11.6   0.1     0.059   11.1   0.1   1.2   1   0   0   1   1   0   0 # 226443 # 227438 # -1 # ID=1_205;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K24693.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K24693.hmm.total.hmmsearch_result.txt --domT 533.33 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K24693.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:38:55 2023
# [ok]
