#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_1130      -          K17490               -            4.7e-21   74.5   4.8   9.2e-21   73.5   4.8   1.6   1   0   0   1   1   0   1 # 1319155 # 1320951 # -1 # ID=1_1130;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.669
LR130759.1_3916      -          K17490               -            1.4e-20   73.0   0.2   4.2e-20   71.4   0.2   1.8   1   0   0   1   1   0   1 # 4553205 # 4555187 # 1 # ID=1_3916;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.667
LR130759.1_1541      -          K17490               -            1.8e-18   66.1   3.7   1.8e-18   66.1   3.7   2.0   2   0   0   2   2   0   1 # 1746111 # 1749494 # 1 # ID=1_1541;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662
OW370493.1_1655      -          K17490               -            4.2e-18   64.9   4.0     1e-17   63.7   4.0   1.7   1   0   0   1   1   0   1 # 1508763 # 1510760 # 1 # ID=1_1655;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.351
LR130759.1_3373      -          K17490               -            3.1e-17   62.2   1.3   8.2e-17   60.8   1.3   1.7   1   0   0   1   1   0   1 # 3923320 # 3925317 # -1 # ID=1_3373;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.661
OX366373.1_221       -          K17490               -            1.3e-16   60.1   0.2   1.3e-16   60.1   0.2   2.1   2   0   0   2   2   0   1 # 247062 # 249032 # -1 # ID=1_221;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
LR130759.1_1203      -          K17490               -            4.2e-16   58.5   7.2   4.3e-16   58.4   7.2   1.0   1   0   0   1   1   0   1 # 1395125 # 1395388 # 1 # ID=1_1203;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.598
LR130759.1_2933      -          K17490               -            9.6e-13   47.6  12.5   1.1e-06   28.1   1.5   3.1   3   0   0   3   3   0   2 # 3391624 # 3393381 # 1 # ID=1_2933;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.658
OX366373.1_857       -          K17490               -            2.7e-08   33.3   0.1    0.0015   18.0   0.0   3.1   3   1   0   3   3   0   2 # 928334 # 929368 # -1 # ID=1_857;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.339
LR130759.1_3366      -          K17490               -            3.5e-08   32.9   0.4   7.5e-08   31.9   0.4   1.5   1   0   0   1   1   0   1 # 3917193 # 3918365 # -1 # ID=1_3366;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.636
OW370493.1_1928      -          K17490               -            1.9e-07   30.5   0.2    0.0048   16.3   0.1   2.7   2   0   0   2   2   0   2 # 1743694 # 1744695 # -1 # ID=1_1928;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.327
OW370493.1_2518      -          K17490               -            1.1e-05   24.9   0.7   1.1e-05   24.9   0.7   2.8   3   1   1   4   4   0   1 # 2268653 # 2269849 # -1 # ID=1_2518;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.377
OW370493.1_66        -          K17490               -            4.6e-05   22.9   0.3    0.0016   17.9   0.0   3.0   2   1   0   2   2   0   1 # 61273 # 62802 # -1 # ID=1_66;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.341
OX366373.1_606       -          K17490               -            7.6e-05   22.1   0.6     0.015   14.7   0.1   2.5   2   0   0   2   2   0   1 # 667505 # 669016 # 1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.351
OW370493.1_1471      -          K17490               -            0.00017   21.0   0.2      0.12   11.9   0.0   2.7   2   1   0   2   2   0   1 # 1315161 # 1316606 # -1 # ID=1_1471;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.336
OX366373.1_628       -          K17490               -            0.00026   20.4   1.3   0.00055   19.4   0.2   2.1   2   0   0   2   2   0   1 # 691645 # 692817 # -1 # ID=1_628;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.368
OW370493.1_303       -          K17490               -             0.0033   16.9   1.0    0.0033   16.9   1.0   1.9   2   0   0   2   2   0   1 # 263603 # 264844 # 1 # ID=1_303;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.357
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K17490.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K17490.hmm.total.hmmsearch_result.txt --domT 124.40 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K17490.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:34:14 2023
# [ok]
