#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_1         -          K10763               -            2.7e-38  130.8   0.1   4.4e-38  130.1   0.1   1.3   1   0   0   1   1   0   1 # 1 # 1593 # 1 # ID=1_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.596
OX366373.1_563       -          K10763               -            7.9e-37  126.0   0.0   1.2e-36  125.4   0.0   1.2   1   0   0   1   1   0   1 # 622555 # 623937 # 1 # ID=1_563;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.336
OW370493.1_680       -          K10763               -            1.5e-36  125.1   0.0   2.2e-36  124.5   0.0   1.2   1   0   0   1   1   0   1 # 603471 # 604880 # -1 # ID=1_680;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
OX366373.1_1157      -          K10763               -            1.2e-29  102.4   0.0   1.3e-29  102.3   0.0   1.0   1   0   0   1   1   0   1 # 1225880 # 1226515 # 1 # ID=1_1157;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.275
OW370493.1_2425      -          K10763               -            1.2e-25   89.4   0.0   1.3e-25   89.2   0.0   1.0   1   0   0   1   1   0   1 # 2180836 # 2181498 # 1 # ID=1_2425;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.288
LR130759.1_630       -          K10763               -            4.3e-08   31.7   0.0    0.0052   15.0   0.0   2.4   2   0   0   2   2   0   2 # 726831 # 729002 # -1 # ID=1_630;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.685
OX366373.1_1166      -          K10763               -            8.7e-08   30.7   0.0   1.6e-07   29.9   0.0   1.3   1   0   0   1   1   0   1 # 1233866 # 1234855 # -1 # ID=1_1166;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
LR130759.1_1965      -          K10763               -            1.7e-07   29.7   0.0   3.1e-07   28.9   0.0   1.3   1   0   0   1   1   0   1 # 2219504 # 2220850 # 1 # ID=1_1965;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.676
LR130759.1_1925      -          K10763               -            4.4e-06   25.1   0.0   1.2e-05   23.7   0.0   1.6   2   0   0   2   2   0   1 # 2170736 # 2171785 # 1 # ID=1_1925;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.693
LR130759.1_1846      -          K10763               -            5.6e-06   24.8   0.0   2.8e-05   22.5   0.0   1.8   2   0   0   2   2   0   1 # 2097854 # 2098843 # 1 # ID=1_1846;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.638
OW370493.1_2841      -          K10763               -            1.2e-05   23.7   0.0     2e-05   22.9   0.0   1.3   1   0   0   1   1   0   1 # 2580455 # 2581450 # -1 # ID=1_2841;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.370
LR130759.1_4173      -          K10763               -            2.6e-05   22.6   0.1    0.0032   15.8   0.0   2.2   2   0   0   2   2   0   1 # 4839674 # 4841554 # 1 # ID=1_4173;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.622
LR130759.1_4409      -          K10763               -              7e-05   21.2   0.5   0.00022   19.5   0.5   1.7   1   1   0   1   1   0   1 # 5100552 # 5101916 # 1 # ID=1_4409;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.686
OW370493.1_930       -          K10763               -            0.00016   20.0   0.2     0.011   14.0   0.0   2.1   1   1   1   2   2   0   1 # 827429 # 828040 # 1 # ID=1_930;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.306
LR130759.1_528       -          K10763               -            0.00016   20.0   0.0     0.057   11.6   0.0   2.7   2   0   0   2   2   0   1 # 606362 # 608908 # 1 # ID=1_528;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.668
OW370493.1_1994      -          K10763               -            0.00041   18.7   0.0   0.00047   18.5   0.0   1.0   1   0   0   1   1   0   1 # 1802736 # 1803101 # 1 # ID=1_1994;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.270
LR130759.1_2266      -          K10763               -             0.0008   17.7   0.6    0.0015   16.9   0.0   1.7   2   0   0   2   2   0   1 # 2587632 # 2590562 # 1 # ID=1_2266;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.659
OW370493.1_1255      -          K10763               -             0.0012   17.1   0.0    0.0044   15.3   0.0   2.0   1   1   0   1   1   0   1 # 1126311 # 1127837 # 1 # ID=1_1255;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
LR130759.1_3122      -          K10763               -             0.0012   17.1   1.3    0.0033   15.7   0.2   2.0   2   0   0   2   2   0   1 # 3619911 # 3623072 # 1 # ID=1_3122;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.649
OW370493.1_995       -          K10763               -             0.0023   16.2   0.0    0.0056   14.9   0.0   1.6   1   1   1   2   2   0   1 # 889389 # 890378 # 1 # ID=1_995;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
LR130759.1_4139      -          K10763               -             0.0034   15.7   0.0    0.0052   15.1   0.0   1.3   1   0   0   1   1   0   1 # 4801372 # 4802262 # -1 # ID=1_4139;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.673
OX366373.1_786       -          K10763               -              0.004   15.4   0.0    0.0084   14.4   0.0   1.6   1   1   0   1   1   0   1 # 853851 # 855188 # -1 # ID=1_786;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.341
OW370493.1_1209      -          K10763               -             0.0041   15.4   0.0    0.0053   15.0   0.0   1.3   1   0   0   1   1   0   1 # 1078830 # 1079522 # -1 # ID=1_1209;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.278
LR130759.1_4795      -          K10763               -             0.0045   15.2   0.1      0.68    8.1   0.0   2.3   2   0   0   2   2   0   1 # 5546208 # 5547983 # 1 # ID=1_4795;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.633
OW370493.1_196       -          K10763               -              0.005   15.1   0.0    0.0098   14.2   0.0   1.5   1   0   0   1   1   0   1 # 177892 # 178923 # 1 # ID=1_196;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.275
LR130759.1_4433      -          K10763               -             0.0053   15.0   0.0      0.48    8.6   0.0   2.5   2   0   0   2   2   0   1 # 5123156 # 5125702 # -1 # ID=1_4433;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.645
OW370493.1_1130      -          K10763               -             0.0082   14.4   0.0     0.014   13.6   0.0   1.3   1   0   0   1   1   0   1 # 1004564 # 1006267 # -1 # ID=1_1130;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.327
LR130759.1_3628      -          K10763               -              0.014   13.6   0.1     0.042   12.1   0.1   1.8   1   0   0   1   1   0   0 # 4226309 # 4228981 # -1 # ID=1_3628;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.645
OW370493.1_1449      -          K10763               -              0.019   13.2   0.1     0.043   12.0   0.1   1.5   1   0   0   1   1   0   0 # 1290279 # 1295090 # 1 # ID=1_1449;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.352
LR130759.1_951       -          K10763               -              0.019   13.2   0.5       1.1    7.5   0.0   3.0   3   0   0   3   3   0   0 # 1052954 # 1056640 # 1 # ID=1_951;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.662
OX366373.1_266       -          K10763               -              0.019   13.2   0.0     0.034   12.4   0.0   1.4   1   0   0   1   1   0   0 # 299792 # 301069 # -1 # ID=1_266;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.362
OW370493.1_678       -          K10763               -              0.022   13.0   0.0      0.18   10.0   0.0   2.2   2   0   0   2   2   0   0 # 600166 # 601431 # -1 # ID=1_678;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.333
LR130759.1_3224      -          K10763               -              0.027   12.7   0.0     0.063   11.5   0.0   1.6   2   0   0   2   2   0   0 # 3735930 # 3736988 # -1 # ID=1_3224;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.634
LR130759.1_4483      -          K10763               -              0.031   12.5   0.4     0.074   11.3   0.0   1.7   2   0   0   2   2   0   0 # 5180782 # 5181948 # -1 # ID=1_4483;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.686
LR130759.1_3325      -          K10763               -              0.036   12.3   0.0      0.06   11.6   0.0   1.3   1   0   0   1   1   0   0 # 3865976 # 3867256 # -1 # ID=1_3325;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.602
LR130759.1_3922      -          K10763               -              0.041   12.1   0.0      0.11   10.7   0.0   1.7   1   0   0   1   1   0   0 # 4560411 # 4561805 # -1 # ID=1_3922;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.661
LR130759.1_1670      -          K10763               -              0.067   11.4   0.0      0.18   10.0   0.0   1.7   2   0   0   2   2   0   0 # 1920780 # 1921568 # -1 # ID=1_1670;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.615
OW370493.1_2797      -          K10763               -               0.08   11.2   0.0      0.15   10.2   0.0   1.4   1   1   0   1   1   0   0 # 2537705 # 2538745 # -1 # ID=1_2797;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.372
OX366373.1_686       -          K10763               -              0.081   11.1   0.0      0.11   10.7   0.0   1.2   1   0   0   1   1   0   0 # 748820 # 749671 # -1 # ID=1_686;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
LR130759.1_2004      -          K10763               -               0.49    8.6   5.8      0.51    8.5   0.9   2.5   1   1   2   3   3   0   0 # 2261197 # 2261514 # 1 # ID=1_2004;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.654
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K10763.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K10763.hmm.total.hmmsearch_result.txt --domT 171.20 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K10763.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:27:41 2023
# [ok]
