#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
OX366373.1_1198      -          K07494               -            1.8e-24   86.0   0.0     2e-24   85.8   0.0   1.0   1   0   0   1   1   1   1 # 1266563 # 1267030 # 1 # ID=1_1198;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
OW370493.1_1013      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 904776 # 905336 # -1 # ID=1_1013;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1030      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 915749 # 916309 # 1 # ID=1_1030;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1063      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 944351 # 944911 # 1 # ID=1_1063;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1077      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 954890 # 955450 # -1 # ID=1_1077;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1079      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 956707 # 957267 # -1 # ID=1_1079;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_108       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 103088 # 103648 # -1 # ID=1_108;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1086      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 961327 # 961887 # 1 # ID=1_1086;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1108      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 981122 # 981682 # 1 # ID=1_1108;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1115      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 989160 # 989720 # -1 # ID=1_1115;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_112       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 105499 # 106059 # 1 # ID=1_112;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1126      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 998745 # 999305 # -1 # ID=1_1126;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1135      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1008792 # 1009352 # -1 # ID=1_1135;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1157      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1029770 # 1030330 # 1 # ID=1_1157;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1164      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1033346 # 1033906 # -1 # ID=1_1164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1236      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1109269 # 1109829 # -1 # ID=1_1236;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1239      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1111357 # 1111917 # -1 # ID=1_1239;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1245      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1116425 # 1116985 # 1 # ID=1_1245;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1250      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1121885 # 1122445 # -1 # ID=1_1250;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_126       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 117861 # 118421 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1260      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1129580 # 1130140 # 1 # ID=1_1260;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1283      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1145403 # 1145963 # 1 # ID=1_1283;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1288      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1147980 # 1148540 # -1 # ID=1_1288;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1319      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1172585 # 1173145 # 1 # ID=1_1319;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1345      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1197430 # 1197990 # 1 # ID=1_1345;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1361      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1213750 # 1214310 # -1 # ID=1_1361;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1372      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1219904 # 1220464 # 1 # ID=1_1372;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1416      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1266338 # 1266898 # -1 # ID=1_1416;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1418      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1267508 # 1268068 # -1 # ID=1_1418;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_142       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 132503 # 133063 # -1 # ID=1_142;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1437      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1280524 # 1281084 # 1 # ID=1_1437;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1439      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1283200 # 1283760 # -1 # ID=1_1439;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1501      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1360007 # 1360567 # 1 # ID=1_1501;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.378
OW370493.1_1550      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1400133 # 1400693 # -1 # ID=1_1550;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1585      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1431531 # 1432091 # 1 # ID=1_1585;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1595      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1441150 # 1441710 # 1 # ID=1_1595;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1639      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1492933 # 1493493 # -1 # ID=1_1639;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1687      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1539586 # 1540146 # 1 # ID=1_1687;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1708      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1557198 # 1557758 # -1 # ID=1_1708;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1727      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1574838 # 1575398 # -1 # ID=1_1727;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1762      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1603995 # 1604555 # -1 # ID=1_1762;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1783      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1621054 # 1621614 # 1 # ID=1_1783;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1811      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1646560 # 1647120 # -1 # ID=1_1811;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1823      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1652173 # 1652733 # 1 # ID=1_1823;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1850      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1671858 # 1672418 # 1 # ID=1_1850;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_1946      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1759923 # 1760483 # 1 # ID=1_1946;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2012      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1814493 # 1815053 # 1 # ID=1_2012;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2049      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1850275 # 1850835 # 1 # ID=1_2049;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2054      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1855029 # 1855589 # 1 # ID=1_2054;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2163      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1943223 # 1943783 # 1 # ID=1_2163;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2169      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1947795 # 1948355 # -1 # ID=1_2169;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.378
OW370493.1_2180      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1953898 # 1954458 # -1 # ID=1_2180;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2202      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1971653 # 1972213 # 1 # ID=1_2202;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2209      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 1981485 # 1982045 # -1 # ID=1_2209;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2233      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2003123 # 2003683 # 1 # ID=1_2233;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2256      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2023889 # 2024449 # -1 # ID=1_2256;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2261      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2027066 # 2027626 # 1 # ID=1_2261;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2283      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2049356 # 2049916 # -1 # ID=1_2283;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_230       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 205905 # 206465 # -1 # ID=1_230;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2303      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2065464 # 2066024 # 1 # ID=1_2303;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2346      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2109003 # 2109563 # 1 # ID=1_2346;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2374      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2134772 # 2135332 # -1 # ID=1_2374;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2423      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2179157 # 2179717 # 1 # ID=1_2423;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2480      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2236350 # 2236910 # 1 # ID=1_2480;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2502      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2256022 # 2256582 # -1 # ID=1_2502;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2514      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2266380 # 2266940 # -1 # ID=1_2514;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2533      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2285961 # 2286521 # -1 # ID=1_2533;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2563      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2311899 # 2312459 # -1 # ID=1_2563;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2594      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2336331 # 2336891 # 1 # ID=1_2594;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2610      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2353678 # 2354238 # 1 # ID=1_2610;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2631      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2370790 # 2371350 # 1 # ID=1_2631;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
