#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_2882      -          K03438               -             1e-124  415.5   0.0  1.2e-124  415.3   0.0   1.0   1   0   0   1   1   1   1 # 3336882 # 3337919 # -1 # ID=1_2882;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.649
OX366373.1_1106      -          K03438               -           4.3e-117  390.5   0.1  4.7e-117  390.3   0.1   1.0   1   0   0   1   1   1   1 # 1181029 # 1181913 # 1 # ID=1_1106;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
OW370493.1_1741      -          K03438               -           9.4e-115  382.8   0.0  1.1e-114  382.6   0.0   1.0   1   0   0   1   1   1   1 # 1587068 # 1588015 # -1 # ID=1_1741;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
LR130759.1_1271      -          K03438               -             0.0016   16.6   0.0    0.0052   14.9   0.0   1.7   2   0   0   2   2   0   1 # 1471443 # 1472165 # -1 # ID=1_1271;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614
LR130759.1_2159      -          K03438               -             0.0032   15.6   0.0    0.0042   15.2   0.0   1.1   1   0   0   1   1   0   1 # 2452953 # 2453624 # -1 # ID=1_2159;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.618
LR130759.1_3515      -          K03438               -             0.0036   15.4   0.0     0.005   15.0   0.0   1.1   1   0   0   1   1   0   1 # 4097191 # 4098081 # -1 # ID=1_3515;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.649
OX366373.1_1182      -          K03438               -               0.03   12.4   0.0     0.067   11.3   0.0   1.6   1   1   0   1   1   0   0 # 1247643 # 1249109 # -1 # ID=1_1182;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.327
LR130759.1_1373      -          K03438               -              0.036   12.2   0.0       3.7    5.5   0.0   2.1   2   0   0   2   2   0   0 # 1571031 # 1571939 # -1 # ID=1_1373;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.603
LR130759.1_2674      -          K03438               -              0.065   11.3   0.8     0.076   11.1   0.1   1.5   2   0   0   2   2   0   0 # 3045476 # 3046234 # -1 # ID=1_2674;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K03438.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K03438.hmm.total.hmmsearch_result.txt --domT 314.70 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K03438.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:23:59 2023
# [ok]
