#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
OX366373.1_1155      -          K20170               -              3e-37  127.2   0.1   4.7e-29  100.1   0.0   2.5   1   1   2   3   3   3   2 # 1224156 # 1225703 # 1 # ID=1_1155;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.377
OW370493.1_1736      -          K20170               -            9.4e-36  122.3   1.6   2.5e-28   97.8   0.0   2.1   2   0   0   2   2   2   2 # 1582504 # 1584132 # -1 # ID=1_1736;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.336
OW370493.1_2683      -          K20170               -            1.3e-34  118.5   0.6   2.4e-34  117.7   0.2   1.4   1   1   0   1   1   1   1 # 2424034 # 2425080 # -1 # ID=1_2683;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1057      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 938746 # 940074 # 1 # ID=1_1057;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1242      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1113107 # 1114435 # 1 # ID=1_1242;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1309      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1164775 # 1166103 # 1 # ID=1_1309;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1443      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1286219 # 1287547 # 1 # ID=1_1443;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1456      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1298541 # 1299869 # 1 # ID=1_1456;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1592      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1438669 # 1439997 # 1 # ID=1_1592;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1692      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1545312 # 1546640 # -1 # ID=1_1692;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1701      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1553077 # 1554405 # 1 # ID=1_1701;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1809      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1644260 # 1645588 # -1 # ID=1_1809;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1859      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1678226 # 1679554 # -1 # ID=1_1859;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1904      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1716422 # 1717750 # 1 # ID=1_1904;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
