#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_3314      -          K11754               -           1.5e-155  518.6  11.5  1.8e-155  518.4  11.5   1.0   1   0   0   1   1   1   1 # 3852073 # 3853527 # -1 # ID=1_3314;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.663
OX366373.1_1125      -          K11754               -           3.5e-128  428.2   0.0  4.4e-128  427.9   0.0   1.0   1   0   0   1   1   1   1 # 1196819 # 1198129 # 1 # ID=1_1125;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.372
LR130759.1_2879      -          K11754               -            3.9e-28   97.6  15.2   1.1e-22   79.6   6.8   2.1   2   0   0   2   2   0   2 # 3331818 # 3333365 # -1 # ID=1_2879;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.698
OW370493.1_1093      -          K11754               -            4.8e-21   74.2   0.0   1.5e-17   62.6   0.0   2.1   2   0   0   2   2   0   2 # 968650 # 970095 # 1 # ID=1_1093;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.339
OX366373.1_690       -          K11754               -            3.3e-19   68.1   0.0   1.9e-14   52.4   0.0   2.1   2   0   0   2   2   0   2 # 752214 # 753776 # -1 # ID=1_690;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
LR130759.1_2873      -          K11754               -            2.9e-15   55.1   6.5     1e-13   50.0   1.0   2.0   2   0   0   2   2   0   2 # 3323433 # 3324857 # -1 # ID=1_2873;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.667
OW370493.1_37        -          K11754               -              3e-14   51.7   1.3   2.9e-10   38.5   0.4   2.4   2   1   0   2   2   0   2 # 34395 # 35849 # 1 # ID=1_37;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.349
OX366373.1_1033      -          K11754               -              1e-11   43.3   0.1   1.2e-07   29.9   0.0   2.1   2   0   0   2   2   0   2 # 1111690 # 1113066 # -1 # ID=1_1033;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.320
LR130759.1_2878      -          K11754               -            3.7e-10   38.2  11.8   1.2e-08   33.2   5.3   2.1   2   0   0   2   2   0   2 # 3330274 # 3331821 # -1 # ID=1_2878;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.696
LR130759.1_2876      -          K11754               -              1e-09   36.7  12.1   3.4e-05   21.8   0.0   2.2   2   0   0   2   2   0   2 # 3327730 # 3329196 # -1 # ID=1_2876;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.703
OW370493.1_1094      -          K11754               -            3.3e-09   35.1   0.0   2.7e-06   25.5   0.0   2.3   2   1   0   2   2   0   2 # 970156 # 971634 # 1 # ID=1_1094;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.337
OW370493.1_1587      -          K11754               -            1.8e-08   32.7   0.6    0.0025   15.6   0.0   2.2   2   0   0   2   2   0   2 # 1432434 # 1433825 # 1 # ID=1_1587;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.328
LR130759.1_4569      -          K11754               -            2.1e-08   32.4   5.8   0.00057   17.8   1.7   2.2   2   0   0   2   2   0   2 # 5260671 # 5261912 # 1 # ID=1_4569;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.697
OX366373.1_305       -          K11754               -              5e-07   27.9   0.2   2.1e-05   22.5   0.0   2.3   2   0   0   2   2   0   1 # 339755 # 341287 # -1 # ID=1_305;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.350
OX366373.1_642       -          K11754               -            7.2e-05   20.7   2.4   0.00056   17.8   0.1   2.1   2   0   0   2   2   0   1 # 701904 # 702926 # 1 # ID=1_642;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
LR130759.1_1582      -          K11754               -             0.0072   14.1   0.0     0.013   13.3   0.0   1.4   1   0   0   1   1   0   1 # 1831055 # 1832410 # 1 # ID=1_1582;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.692
OX366373.1_126       -          K11754               -                2.4    5.8  15.8       3.3    5.3  15.8   1.1   1   0   0   1   1   0   0 # 140314 # 142353 # -1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.359
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K11754.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K11754.hmm.total.hmmsearch_result.txt --domT 369.40 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K11754.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:28:16 2023
# [ok]
