#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_1070      -          K00240               -           2.3e-105  351.4   0.1  2.6e-105  351.2   0.1   1.0   1   0   0   1   1   1   1 # 1251197 # 1252000 # -1 # ID=1_1070;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.642
OW370493.1_1341      -          K00240               -           1.2e-104  349.0   0.6  1.5e-104  348.7   0.6   1.0   1   0   0   1   1   1   1 # 1194575 # 1195360 # 1 # ID=1_1341;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.351
OX366373.1_257       -          K00240               -           3.1e-103  344.4   1.8  3.9e-103  344.0   1.8   1.0   1   0   0   1   1   1   1 # 289183 # 289971 # -1 # ID=1_257;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.343
LR130759.1_412       -          K00240               -            6.1e-82  274.4   3.8   7.2e-82  274.1   3.8   1.0   1   0   0   1   1   1   1 # 446469 # 447215 # -1 # ID=1_412;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.596
LR130759.1_501       -          K00240               -            1.1e-09   36.8   0.1   1.6e-05   23.1   0.0   2.4   2   0   0   2   2   0   2 # 557455 # 560391 # -1 # ID=1_501;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
LR130759.1_1289      -          K00240               -            2.9e-06   25.6   7.2    0.0018   16.4   0.2   2.1   1   1   1   2   2   0   2 # 1489154 # 1489699 # -1 # ID=1_1289;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.625
OW370493.1_1642      -          K00240               -            3.7e-06   25.2  10.5   5.7e-05   21.3   1.0   2.1   1   1   1   2   2   0   2 # 1494673 # 1495158 # 1 # ID=1_1642;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.344
OX366373.1_1186      -          K00240               -            1.6e-05   23.1  10.0   8.7e-05   20.7   1.3   2.1   1   1   1   2   2   0   2 # 1253670 # 1254152 # -1 # ID=1_1186;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398
LR130759.1_705       -          K00240               -            0.00016   19.8   0.0   0.00021   19.4   0.0   1.3   1   0   0   1   1   0   1 # 802535 # 803170 # 1 # ID=1_705;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.618
LR130759.1_3074      -          K00240               -            0.00047   18.3   9.0     0.005   14.9   9.0   2.0   1   1   0   1   1   0   1 # 3543884 # 3545026 # -1 # ID=1_3074;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643
OW370493.1_599       -          K00240               -             0.0013   16.8   1.9    0.0013   16.8   1.9   2.1   1   1   1   2   2   0   1 # 535695 # 536015 # 1 # ID=1_599;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.361
LR130759.1_4270      -          K00240               -               0.12   10.4   0.3       0.2    9.7   0.3   1.3   1   0   0   1   1   0   0 # 4936781 # 4939483 # -1 # ID=1_4270;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.681
LR130759.1_514       -          K00240               -               0.39    8.7   5.2     0.046   11.8   1.4   1.4   1   1   0   1   1   0   0 # 574704 # 575192 # -1 # ID=1_514;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.630
LR130759.1_3029      -          K00240               -               0.82    7.6   5.2     0.094   10.7   1.1   1.5   1   1   0   1   1   0   0 # 3501519 # 3501845 # 1 # ID=1_3029;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.606
LR130759.1_1891      -          K00240               -                1.5    6.8   6.6       0.1   10.6   1.1   1.7   1   1   1   2   2   0   0 # 2136963 # 2137352 # 1 # ID=1_1891;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.631
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K00240.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K00240.hmm.total.hmmsearch_result.txt --domT 120.83 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K00240.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:21:17 2023
# [ok]
