#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_3186      -          K05299               -           4.5e-166  553.4   0.0  1.9e-165  551.3   0.0   1.7   1   1   0   1   1   0   1 # 3690892 # 3695217 # 1 # ID=1_3186;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.631
LR130759.1_1291      -          K05299               -           4.3e-143  477.4   0.0  9.6e-110  367.0   0.0   3.0   2   1   1   3   3   0   3 # 1491016 # 1493433 # -1 # ID=1_1291;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.677
OW370493.1_55        -          K05299               -           1.5e-128  429.2   0.2  1.3e-104  350.0   0.3   3.0   1   1   1   2   2   0   2 # 52683 # 54746 # 1 # ID=1_55;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.359
OX366373.1_964       -          K05299               -           2.5e-124  415.3   0.4   1.6e-99  333.2   0.4   2.7   2   1   1   3   3   0   2 # 1034230 # 1036299 # -1 # ID=1_964;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
LR130759.1_340       -          K05299               -            1.6e-63  214.1   0.0   2.1e-40  137.5   0.0   3.8   3   1   0   3   3   0   3 # 358821 # 361070 # 1 # ID=1_340;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
LR130759.1_98        -          K05299               -            1.9e-63  213.8   0.0   9.1e-63  211.6   0.0   1.8   1   1   0   1   1   0   1 # 97121 # 99454 # 1 # ID=1_98;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.629
LR130759.1_2366      -          K05299               -            1.4e-59  201.0   0.0   8.1e-47  158.8   0.0   2.5   2   1   0   2   2   0   2 # 2708174 # 2710384 # 1 # ID=1_2366;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.633
LR130759.1_2732      -          K05299               -              9e-15   52.8   0.0   4.5e-10   37.2   0.0   2.1   2   0   0   2   2   0   2 # 3169377 # 3170411 # 1 # ID=1_2732;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
OX366373.1_1186      -          K05299               -            9.4e-10   36.2   1.9   1.1e-09   36.0   1.9   1.0   1   0   0   1   1   0   1 # 1253670 # 1254152 # -1 # ID=1_1186;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398
OW370493.1_1642      -          K05299               -            1.1e-09   35.9   2.7   1.3e-09   35.7   2.7   1.0   1   0   0   1   1   0   1 # 1494673 # 1495158 # 1 # ID=1_1642;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.344
LR130759.1_1289      -          K05299               -            3.8e-07   27.5   1.1   4.7e-07   27.2   1.1   1.1   1   0   0   1   1   0   1 # 1489154 # 1489699 # -1 # ID=1_1289;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.625
LR130759.1_3074      -          K05299               -            8.5e-06   23.1   5.8    0.0021   15.2   0.1   2.1   2   0   0   2   2   0   2 # 3543884 # 3545026 # -1 # ID=1_3074;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643
LR130759.1_3997      -          K05299               -             0.0054   13.8  10.0     0.012   12.6  10.0   1.5   1   1   0   1   1   0   1 # 4659570 # 4661258 # -1 # ID=1_3997;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.655
LR130759.1_501       -          K05299               -              0.029   11.4   5.1      0.13    9.2   0.6   2.2   2   0   0   2   2   0   0 # 557455 # 560391 # -1 # ID=1_501;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
OX366373.1_540       -          K05299               -              0.042   10.9  12.4     0.078    9.9  12.4   1.4   1   1   0   1   1   0   0 # 597283 # 597660 # -1 # ID=1_540;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.317
LR130759.1_4146      -          K05299               -              0.072   10.1   0.1     0.085    9.8   0.1   1.0   1   0   0   1   1   0   0 # 4808701 # 4808982 # 1 # ID=1_4146;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.660
LR130759.1_3677      -          K05299               -               0.18    8.7   6.1     0.044   10.8   3.1   1.4   1   1   1   2   2   0   0 # 4285811 # 4286137 # -1 # ID=1_3677;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.612
LR130759.1_3029      -          K05299               -               0.25    8.3   6.6     0.029   11.4   2.1   1.6   1   1   1   2   2   0   0 # 3501519 # 3501845 # 1 # ID=1_3029;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.606
LR130759.1_1891      -          K05299               -               0.63    7.0   7.3       1.1    6.1   7.3   1.4   1   1   0   1   1   0   0 # 2136963 # 2137352 # 1 # ID=1_1891;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.631
LR130759.1_2755      -          K05299               -                1.9    5.3   8.9       3.6    4.4   8.9   1.4   1   1   0   1   1   0   0 # 3189355 # 3189699 # -1 # ID=1_2755;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.580
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K05299.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K05299.hmm.total.hmmsearch_result.txt --domT 1211.00 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K05299.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:24:48 2023
# [ok]
