CAZyme ID	GCA_900292015.1_MB901379_prodigal_out Hit numbers	GCA_900292015.1_MB901379_prodigal_out Hits	GCA_936269705.1_RiOegib_v1.0_prodigal_out Hit numbers	GCA_936269705.1_RiOegib_v1.0_prodigal_out Hits	GCA_947251655.1_ilPheTrem1.Wolbachia_sp_1.1_prodigal_out Hit numbers	GCA_947251655.1_ilPheTrem1.Wolbachia_sp_1.1_prodigal_out Hits
GH003	2	LR130759.1_333;LR130759.1_401	0	None	0	None
GH005	1	LR130759.1_1359	0	None	1	OX366373.1_1138
GH006	1	LR130759.1_89	0	None	0	None
GH012	1	LR130759.1_4155	0	None	0	None
GH013	9	LR130759.1_2186;LR130759.1_2187;LR130759.1_2188;LR130759.1_237;LR130759.1_2520;LR130759.1_3090;LR130759.1_3341;LR130759.1_3489;LR130759.1_3490	0	None	0	None
GH015	2	LR130759.1_1442;LR130759.1_3263	0	None	0	None
GH016	2	LR130759.1_2657;LR130759.1_467	0	None	0	None
GH023	2	LR130759.1_3621;LR130759.1_3860	3	OW370493.1_116;OW370493.1_1478;OW370493.1_2399	0	None
GH024	0	None	2	OW370493.1_649;OW370493.1_728	0	None
GH025	0	None	0	None	2	OX366373.1_402;OX366373.1_480
GH029	1	LR130759.1_2603	0	None	0	None
GH033	0	None	1	OW370493.1_2567	0	None
GH038	1	LR130759.1_829	0	None	0	None
GH057	1	LR130759.1_1477	0	None	0	None
GH065	2	LR130759.1_2060;LR130759.1_994	0	None	0	None
GH076	1	LR130759.1_549	0	None	0	None
GH077	1	LR130759.1_2424	0	None	0	None
GH092	1	LR130759.1_798	0	None	0	None
GH113	0	None	0	None	1	OX366373.1_785
