#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
OW370493.1_1954      -          K14061               -            1.7e-42  144.1   0.1   1.9e-42  143.9   0.1   1.0   1   0   0   1   1   1   1 # 1768505 # 1768933 # -1 # ID=1_1954;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.350
LR130759.1_3061      -          K14061               -            3.5e-19   68.5   0.3   7.3e-09   35.1   0.0   2.1   2   0   0   2   2   0   2 # 3530975 # 3531868 # -1 # ID=1_3061;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.648
LR130759.1_2756      -          K14061               -              5e-19   68.0   0.0   3.6e-09   36.1   0.3   2.1   2   0   0   2   2   0   2 # 3189782 # 3190672 # -1 # ID=1_2756;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
LR130759.1_2754      -          K14061               -              3e-16   59.0   2.7   3.2e-07   29.7   0.3   2.1   2   0   0   2   2   0   2 # 3188451 # 3189338 # -1 # ID=1_2754;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.646
LR130759.1_3172      -          K14061               -            5.4e-14   51.7   0.0     4e-06   26.2   0.0   2.1   2   0   0   2   2   0   2 # 3673173 # 3674045 # -1 # ID=1_3172;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.670
LR130759.1_723       -          K14061               -            1.1e-12   47.5   2.6   2.4e-06   26.9   1.4   2.4   2   0   0   2   2   0   2 # 823155 # 824024 # 1 # ID=1_723;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.698
LR130759.1_3064      -          K14061               -            1.2e-11   44.0   0.1   2.6e-09   36.5   0.0   2.4   2   1   0   2   2   0   1 # 3534838 # 3535620 # -1 # ID=1_3064;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.648
LR130759.1_2245      -          K14061               -            3.2e-11   42.7   1.0   3.7e-11   42.5   1.0   1.0   1   0   0   1   1   0   1 # 2554823 # 2555263 # 1 # ID=1_2245;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.637
LR130759.1_2742      -          K14061               -            1.2e-06   27.9   0.0     0.043   13.1   0.0   2.2   2   0   0   2   2   0   2 # 3179136 # 3180044 # 1 # ID=1_2742;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.631
LR130759.1_1322      -          K14061               -            2.5e-05   23.6   3.5    0.0079   15.5   0.1   3.1   2   1   1   3   3   0   1 # 1522326 # 1523123 # 1 # ID=1_1322;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.638
LR130759.1_3853      -          K14061               -            0.00023   20.5   0.3    0.0042   16.4   0.3   2.8   1   1   0   1   1   0   1 # 4479192 # 4481738 # 1 # ID=1_3853;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
LR130759.1_152       -          K14061               -              0.028   13.7   0.1     0.044   13.1   0.1   1.3   1   0   0   1   1   0   0 # 150574 # 151188 # 1 # ID=1_152;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.602
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K14061.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K14061.hmm.total.hmmsearch_result.txt --domT 141.40 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K14061.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:29:47 2023
# [ok]
