#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_2879      -          K05362               -           1.6e-106  355.9   0.0    2e-106  355.6   0.0   1.0   1   0   0   1   1   0   1 # 3331818 # 3333365 # -1 # ID=1_2879;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.698
OW370493.1_1093      -          K05362               -              4e-96  321.6   0.0     5e-96  321.3   0.0   1.0   1   0   0   1   1   0   1 # 968650 # 970095 # 1 # ID=1_1093;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.339
OX366373.1_690       -          K05362               -            3.6e-91  305.2   0.1   1.9e-89  299.5   0.0   2.0   2   0   0   2   2   0   1 # 752214 # 753776 # -1 # ID=1_690;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OX366373.1_1033      -          K05362               -            1.8e-33  114.9   0.7   1.8e-18   65.5   0.2   2.1   2   0   0   2   2   0   2 # 1111690 # 1113066 # -1 # ID=1_1033;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.320
LR130759.1_2878      -          K05362               -            2.7e-24   84.7   0.0   4.1e-21   74.2   0.0   2.9   1   1   0   1   1   0   1 # 3330274 # 3331821 # -1 # ID=1_2878;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.696
LR130759.1_2873      -          K05362               -            2.3e-23   81.6   0.0   9.1e-20   69.7   0.0   2.0   2   0   0   2   2   0   2 # 3323433 # 3324857 # -1 # ID=1_2873;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.667
OX366373.1_305       -          K05362               -            6.2e-23   80.2  12.4   6.9e-13   47.0   0.2   3.2   2   1   1   3   3   0   3 # 339755 # 341287 # -1 # ID=1_305;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.350
OW370493.1_1587      -          K05362               -            2.3e-21   75.0   5.2   9.9e-17   59.7   0.5   2.2   2   0   0   2   2   0   2 # 1432434 # 1433825 # 1 # ID=1_1587;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.328
OW370493.1_37        -          K05362               -            1.7e-20   72.1   5.9   3.4e-19   67.8   4.0   2.2   2   0   0   2   2   0   1 # 34395 # 35849 # 1 # ID=1_37;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.349
LR130759.1_2876      -          K05362               -            4.1e-18   64.3   0.0   8.3e-11   40.2   0.0   2.2   1   1   1   2   2   0   2 # 3327730 # 3329196 # -1 # ID=1_2876;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.703
OW370493.1_1094      -          K05362               -            2.5e-16   58.4   2.0   2.1e-11   42.2   0.1   3.0   2   1   0   2   2   0   2 # 970156 # 971634 # 1 # ID=1_1094;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.337
LR130759.1_3314      -          K05362               -            7.8e-16   56.8   0.1   5.8e-11   40.7   0.0   2.1   2   0   0   2   2   0   2 # 3852073 # 3853527 # -1 # ID=1_3314;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.663
OX366373.1_755       -          K05362               -            4.6e-13   47.6   0.1   5.7e-13   47.3   0.1   1.1   1   0   0   1   1   0   1 # 817369 # 818367 # -1 # ID=1_755;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.350
OX366373.1_1125      -          K05362               -            1.2e-12   46.3   0.0   2.1e-08   32.3   0.0   2.1   2   0   0   2   2   0   2 # 1196819 # 1198129 # 1 # ID=1_1125;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.372
LR130759.1_4569      -          K05362               -            8.5e-08   30.3   3.3   3.6e-05   21.6   0.0   2.3   2   0   0   2   2   0   2 # 5260671 # 5261912 # 1 # ID=1_4569;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.697
OX366373.1_642       -          K05362               -            1.8e-06   25.9   6.2    0.0018   16.0   0.1   2.3   2   1   0   2   2   0   2 # 701904 # 702926 # 1 # ID=1_642;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K05362.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K05362.hmm.total.hmmsearch_result.txt --domT 543.27 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K05362.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:24:50 2023
# [ok]
