#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
OX366373.1_79        -          K14661               -            2.5e-12   45.9   2.2   2.9e-12   45.7   2.2   1.1   1   0   0   1   1   0   1 # 94678 # 94938 # -1 # ID=1_79;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.345
LR130759.1_2972      -          K14661               -            4.5e-12   45.1   0.7   6.9e-12   44.5   0.5   1.4   1   1   0   1   1   0   1 # 3438523 # 3438870 # 1 # ID=1_2972;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.626
OW370493.1_2452      -          K14661               -            1.6e-11   43.4   2.5     2e-11   43.0   2.5   1.1   1   0   0   1   1   0   1 # 2211108 # 2211380 # 1 # ID=1_2452;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.286
LR130759.1_3713      -          K14661               -            7.8e-11   41.1   0.0   8.7e-11   41.0   0.0   1.1   1   0   0   1   1   0   1 # 4326072 # 4326335 # -1 # ID=1_3713;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.591
LR130759.1_2719      -          K14661               -            1.7e-07   30.4   1.0   2.6e-07   29.8   1.0   1.3   1   1   0   1   1   0   1 # 3146178 # 3146450 # -1 # ID=1_2719;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.491
LR130759.1_4731      -          K14661               -              0.019   14.2   0.0       3.9    6.8   0.0   3.0   3   0   0   3   3   0   0 # 5471770 # 5477109 # -1 # ID=1_4731;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.672
LR130759.1_1570      -          K14661               -              0.055   12.8   0.0      0.21   10.9   0.0   1.9   2   0   0   2   2   0   0 # 1803152 # 1809763 # -1 # ID=1_1570;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.672
LR130759.1_2715      -          K14661               -               0.07   12.4   0.0        18    4.7   0.0   2.9   3   0   0   3   3   0   0 # 3126315 # 3143237 # 1 # ID=1_2715;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.616
LR130759.1_1572      -          K14661               -              0.096   12.0   0.0      0.37   10.1   0.0   1.9   2   0   0   2   2   0   0 # 1814412 # 1820006 # -1 # ID=1_1572;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.660
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K14661.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K14661.hmm.total.hmmsearch_result.txt --domT 83.37 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K14661.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:30:07 2023
# [ok]
