#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_3173      -          K19540               -            1.7e-61  207.1  27.6   2.5e-61  206.5  27.6   1.1   1   0   0   1   1   0   1 # 3674042 # 3675511 # -1 # ID=1_3173;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.640
LR130759.1_1166      -          K19540               -              8e-56  188.4  30.9   1.1e-55  188.0  30.9   1.0   1   0   0   1   1   0   1 # 1356803 # 1358287 # 1 # ID=1_1166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.645
OX366373.1_113       -          K19540               -            7.1e-55  185.3  32.9   7.9e-55  185.1  32.9   1.0   1   0   0   1   1   0   1 # 128585 # 129859 # 1 # ID=1_113;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.363
LR130759.1_1853      -          K19540               -            2.1e-51  173.8  33.8   2.8e-51  173.4  33.8   1.0   1   0   0   1   1   0   1 # 2103958 # 2105358 # -1 # ID=1_1853;partial=00;start_type=ATG;rbs_motif=AGGAG(G)/GGAGG;rbs_spacer=13-15bp;gc_cont=0.648
OW370493.1_1933      -          K19540               -            8.4e-51  171.9  35.9     1e-50  171.6  35.9   1.0   1   0   0   1   1   0   1 # 1748783 # 1750087 # -1 # ID=1_1933;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.327
OX366373.1_114       -          K19540               -            6.8e-49  165.6  37.2   7.6e-49  165.4  37.2   1.0   1   0   0   1   1   0   1 # 129930 # 131216 # 1 # ID=1_114;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
OW370493.1_343       -          K19540               -            1.6e-46  157.8  38.7   2.1e-46  157.3  38.7   1.1   1   0   0   1   1   0   1 # 304152 # 305546 # 1 # ID=1_343;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.341
LR130759.1_726       -          K19540               -              8e-35  119.2  45.9   9.4e-35  119.0  45.9   1.0   1   0   0   1   1   0   1 # 829074 # 830381 # 1 # ID=1_726;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.614
LR130759.1_2047      -          K19540               -              1e-33  115.6  33.0   1.4e-33  115.1  33.0   1.0   1   0   0   1   1   0   1 # 2310093 # 2311502 # -1 # ID=1_2047;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.640
LR130759.1_548       -          K19540               -            3.2e-32  110.6  32.2   4.3e-32  110.2  32.2   1.0   1   0   0   1   1   0   1 # 626029 # 627480 # -1 # ID=1_548;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.640
LR130759.1_944       -          K19540               -            2.9e-31  107.5  34.5   4.3e-31  106.9  34.5   1.2   1   0   0   1   1   0   1 # 1043450 # 1044916 # -1 # ID=1_944;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.627
