#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
OW370493.1_2680      -          K25652               -            1.7e-24   86.0   5.6     4e-24   84.8   5.6   1.7   1   0   0   1   1   0   1 # 2418311 # 2421010 # -1 # ID=1_2680;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.260
LR130759.1_2160      -          K25652               -            7.9e-15   54.2   0.0   2.1e-12   46.2   0.0   2.0   2   0   0   2   2   0   2 # 2453766 # 2454479 # 1 # ID=1_2160;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.560
LR130759.1_2126      -          K25652               -            9.7e-12   44.1   0.0   1.4e-11   43.6   0.0   1.2   1   0   0   1   1   0   1 # 2402370 # 2403365 # 1 # ID=1_2126;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.577
LR130759.1_871       -          K25652               -            9.5e-08   30.9   0.0   1.4e-07   30.4   0.0   1.2   1   0   0   1   1   0   1 # 986841 # 988250 # 1 # ID=1_871;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.672
LR130759.1_2779      -          K25652               -            7.7e-05   21.4   0.0    0.0001   21.0   0.0   1.1   1   0   0   1   1   0   1 # 3225015 # 3225797 # -1 # ID=1_2779;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.665
OW370493.1_2103      -          K25652               -             0.0056   15.3   0.3    0.0083   14.7   0.3   1.3   1   0   0   1   1   0   1 # 1902855 # 1903673 # -1 # ID=1_2103;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
LR130759.1_3642      -          K25652               -             0.0086   14.6   0.0     0.017   13.7   0.0   1.4   1   1   0   1   1   0   1 # 4244476 # 4245456 # -1 # ID=1_3642;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661
LR130759.1_4463      -          K25652               -             0.0089   14.6   0.1     0.013   14.1   0.1   1.2   1   0   0   1   1   0   1 # 5155603 # 5156304 # 1 # ID=1_4463;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
LR130759.1_744       -          K25652               -               0.11   11.0   0.0      0.14   10.7   0.0   1.1   1   0   0   1   1   0   0 # 847506 # 848162 # 1 # ID=1_744;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.697
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K25652.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K25652.hmm.total.hmmsearch_result.txt --domT 306.17 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K25652.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:39:28 2023
# [ok]
