#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_2017      -          K21806               -            5.9e-06   24.7   0.3   7.6e-06   24.3   0.3   1.1   1   0   0   1   1   0   1 # 2274809 # 2275633 # -1 # ID=1_2017;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.662
OW370493.1_619       -          K21806               -            3.3e-05   22.2   0.0   3.6e-05   22.1   0.0   1.1   1   0   0   1   1   0   1 # 548815 # 549684 # -1 # ID=1_619;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
OW370493.1_532       -          K21806               -            8.1e-05   20.9   0.0   9.5e-05   20.7   0.0   1.1   1   0   0   1   1   0   1 # 471336 # 472085 # -1 # ID=1_532;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.312
LR130759.1_4536      -          K21806               -             0.0018   16.5   0.0    0.0024   16.1   0.0   1.1   1   0   0   1   1   0   1 # 5227911 # 5228507 # -1 # ID=1_4536;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.630
LR130759.1_1030      -          K21806               -             0.0056   14.9   0.0    0.0073   14.5   0.0   1.1   1   0   0   1   1   0   1 # 1152209 # 1152946 # -1 # ID=1_1030;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
LR130759.1_381       -          K21806               -             0.0097   14.1   0.0     0.016   13.4   0.0   1.4   1   0   0   1   1   0   1 # 409593 # 410285 # -1 # ID=1_381;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.657
OX366373.1_909       -          K21806               -              0.018   13.2   0.0     0.066   11.4   0.0   1.8   1   1   0   1   1   0   0 # 972675 # 973745 # 1 # ID=1_909;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.303
OW370493.1_469       -          K21806               -              0.035   12.3   0.0     0.043   12.0   0.0   1.2   1   0   0   1   1   0   0 # 420490 # 421089 # -1 # ID=1_469;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.275
OW370493.1_354       -          K21806               -              0.037   12.2   0.0     0.038   12.2   0.0   1.1   1   0   0   1   1   0   0 # 318086 # 318556 # 1 # ID=1_354;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.301
OW370493.1_1359      -          K21806               -              0.041   12.0   0.0     0.043   12.0   0.0   1.1   1   0   0   1   1   0   0 # 1212517 # 1213014 # -1 # ID=1_1359;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.303
LR130759.1_3292      -          K21806               -              0.074   11.2   0.0     0.094   10.9   0.0   1.2   1   0   0   1   1   0   0 # 3821388 # 3822380 # 1 # ID=1_3292;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.638
LR130759.1_2149      -          K21806               -               0.12   10.6   0.2      0.21    9.7   0.0   1.4   2   0   0   2   2   0   0 # 2426909 # 2427577 # -1 # ID=1_2149;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.589
LR130759.1_3144      -          K21806               -               0.12   10.5   0.0      0.16   10.1   0.0   1.1   1   0   0   1   1   0   0 # 3646861 # 3647529 # 1 # ID=1_3144;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.620
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K21806.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K21806.hmm.total.hmmsearch_result.txt --domT 199.70 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K21806.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:37:37 2023
# [ok]
