#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_1930      -          K00596               -            1.3e-88  296.4   1.4   1.6e-88  296.1   1.4   1.0   1   0   0   1   1   0   1 # 2179142 # 2180482 # -1 # ID=1_1930;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.655
LR130759.1_1101      -          K00596               -              1e-85  286.9   0.3   1.3e-85  286.6   0.3   1.0   1   0   0   1   1   0   1 # 1286753 # 1288018 # -1 # ID=1_1101;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.684
LR130759.1_2046      -          K00596               -            3.6e-85  285.1   0.0   4.9e-85  284.6   0.0   1.1   1   0   0   1   1   0   1 # 2307157 # 2310096 # -1 # ID=1_2046;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.660
OX366373.1_89        -          K00596               -            7.9e-69  231.2   0.0   1.6e-46  157.7   0.0   2.0   1   1   1   2   2   0   2 # 103312 # 104490 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.365
LR130759.1_2270      -          K00596               -            3.3e-67  225.9   6.4   2.3e-44  150.6   2.6   2.4   1   1   1   2   2   0   2 # 2593840 # 2595042 # 1 # ID=1_2270;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.653
LR130759.1_3136      -          K00596               -            5.3e-67  225.2   0.0   5.8e-67  225.1   0.0   1.0   1   0   0   1   1   0   1 # 3638818 # 3640173 # 1 # ID=1_3136;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.634
OX366373.1_57        -          K00596               -            3.4e-64  215.9   0.0     1e-48  164.9   0.0   2.1   1   1   1   2   2   0   2 # 60632 # 61801 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.362
LR130759.1_3174      -          K00596               -            3.5e-56  189.5   0.0   1.8e-40  137.8   0.1   2.0   1   1   1   2   2   0   2 # 3675541 # 3676785 # -1 # ID=1_3174;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.631
LR130759.1_2192      -          K00596               -            6.6e-47  159.0   0.8   1.6e-46  157.7   0.8   1.5   1   1   0   1   1   0   1 # 2495457 # 2496782 # 1 # ID=1_2192;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.664
LR130759.1_1123      -          K00596               -            2.7e-39  133.9   0.0   6.3e-39  132.7   0.0   1.5   1   1   0   1   1   0   1 # 1314557 # 1315900 # 1 # ID=1_1123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.663
LR130759.1_729       -          K00596               -            4.3e-33  113.5   0.9   8.7e-33  112.5   0.9   1.4   1   1   0   1   1   0   1 # 831704 # 833044 # 1 # ID=1_729;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.676
LR130759.1_2193      -          K00596               -            0.00024   18.7   0.2    0.0015   16.1   0.1   1.9   2   0   0   2   2   0   1 # 2496787 # 2497950 # 1 # ID=1_2193;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.698
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K00596.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K00596.hmm.total.hmmsearch_result.txt --domT 450.63 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K00596.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:21:38 2023
# [ok]
